Salary_id,iso_alpha2,Job_id,percentile_25,percentile_25_GBP,percentile_50,percentile_50_GBP,percentile_75,percentile_75_GBP
68,AX,DATA-ANALYST,37309.1,32400.9,44901.8,38994.8,54039.8,46930.6
69,AX,DATA-SCIENTIST,73607.9,63924.4,88919.3,77221.6,107416,93284.7
70,AX,DENTIST,78633.5,68288.9,102408,88935.4,133369,115824
71,AX,ELECTRICAL-ENGINEER,49430.4,42927.6,58931.7,51179,70259.4,61016.4
72,AX,EXECUTIVE-ASSISTANT,36704.6,31876,44394.5,38554.2,53695.6,46631.7
73,AX,FASHION-DESIGNER,38516.9,33449.8,49722,43180.8,64186.7,55742.7
74,AX,FINANCE-MANAGER,51926.6,45095.4,65594,56964.8,82858.7,71958.3
75,AX,FINANCIAL-ANALYST,40028.8,34762.8,46585,40456.5,54215.1,47082.9
76,AX,GRAPHIC-DESIGNER,28289.9,24568.2,33686.3,29254.7,40112.1,34835.2
77,AX,HARDWARE-ENGINEER,50525.2,43878.4,61385.4,53309.9,74580,64768.7
78,AX,HUMAN-RESOURCES-MANAGER,46477.6,40363.3,56755.7,49289.2,69306.6,60189
79,AX,IT-MANAGER,53902.6,46811.4,66050.8,57361.5,80936.9,70289.3
80,AX,INDUSTRIAL-DESIGNER,43853.4,38084.3,53871.1,46784.1,66177.2,57471.3
81,AX,INTERIOR-DESIGNER,37414.2,32492.2,45145,39205.9,54473.1,47306.9
82,AX,LECTURER,36331.3,31551.8,44769,38879.5,55166.4,47909
83,AX,MARKETING-MANAGER,44761.6,38873,56221.9,48825.7,70616.4,61326.5
84,AX,MECHANICAL-ENGINEER,47039.5,40851.2,55152,47896.5,64663.7,56156.9
85,AX,MOBILE-DEVELOPER,45847.5,39816,57340.5,49797.1,71714.6,62280.2
86,AX,NURSE,49393.2,42895.3,54948.7,47719.9,61129.1,53087.3
87,AX,OFFICE-MANAGER,29154.9,25319.4,35644.1,30955,43577.7,37844.8
88,AX,OPERATIONS-MANAGER,40547.1,35212.9,51676.5,44878.2,65860.8,57196.5
89,AX,PHARMACIST,78273.9,67976.6,87198.4,75727.1,97140.5,84361.2
90,AX,PHYSICIAN,98532.5,85570.1,134247,116586,182906,158844
91,AX,POSTDOCTORAL-RESEARCHER,32373.8,28114.8,36613.9,31797.1,41409.3,35961.7
92,AX,PRODUCT-MANAGER,55340.4,48060.1,68007,59060.4,83572.8,72578.4
93,AX,PROJECT-MANAGER,49580.5,43057.9,61285.4,53223,75753.7,65787.9
94,AX,QA-ENGINEER,39073.7,33933.4,48167.1,41830.5,59376.8,51565.5
95,AX,RECEPTIONIST,20220,17560,24489.9,21268.2,29661.5,25759.4
96,AX,RESEARCH-SCIENTIST,42315.7,36748.9,54232.5,47098,69505.3,60361.5
97,AX,SALES-MANAGER,42257.6,36698.4,55850.5,48503.1,73815.8,64105
98,AX,SOFTWARE-ENGINEER,49731.4,43189,60615.3,52641.1,73881.3,64161.9
99,AX,SYSTEMS-ADMINISTRATOR,39972.8,34714.2,48107.8,41779,57898.4,50281.6
100,AX,TEACHER,28584.1,24823.8,35352.7,30701.9,43724.1,37972
101,AX,UX-DESIGNER,44021.1,38229.9,53976.4,46875.6,66183.2,57476.5
102,AX,WAITER,11511.8,9997.34,17620.7,15302.6,26971.6,23423.3
103,AX,WEB-DESIGNER,32030.8,27817,39193.2,34037.2,47957.3,41648.3
104,AX,WEB-DEVELOPER,40356.1,35047.1,50005.5,43427,61962,53810.6
105,AL,ACCOUNT-MANAGER,4728.56,39.7384,5920.53,49.7555,7412.96,62.2978
106,AL,ACCOUNTANT,3774.32,31.7191,4482.38,37.6695,5323.27,44.7363
107,AL,ADMINISTRATIVE-ASSISTANT,2945.51,24.7538,3547.64,29.814,4272.86,35.9087
108,AL,ARCHITECT,6438.31,54.1069,7972.25,66.998,9871.65,82.9604
109,AL,ATTORNEY,5151.25,43.2906,6956.63,58.4629,9394.75,78.9526
110,AL,BUSINESS-ANALYST,5173.3,43.4759,6205.79,52.1529,7444.35,62.5616
111,AL,BUSINESS-DEVELOPMENT,4664.81,39.2026,6180.24,51.9382,8187.99,68.8111
112,AL,C-LEVEL-EXECUTIVE,8539.08,71.7616,12802.4,107.59,19194.2,161.307
113,AL,CASHIER,1366.88,11.4871,1915.14,16.0946,2683.3,22.5502
114,AL,CHEF,3520.55,29.5863,4324.36,36.3415,5311.71,44.6391
115,AL,CHEMICAL-ENGINEER,5824.36,48.9473,7057.77,59.3128,8552.39,71.8734
116,AL,CIVIL-ENGINEER,5161.9,43.3801,6153.92,51.7169,7336.59,61.656
117,AL,CONTENT-MARKETING,3560.97,29.9261,4458.77,37.4711,5582.92,46.9183
118,AL,COPYWRITER,3533.26,29.6932,4344.74,36.5128,5342.6,44.8987
119,AL,CUSTOMER-SUPPORT,2953.45,24.8205,3797.29,31.912,4882.23,41.0298
120,AL,DATA-ANALYST,4242.94,35.6573,5106.5,42.9145,6145.81,51.6488
121,AL,DATA-SCIENTIST,8371.53,70.3535,10112.9,84.9879,12216.5,102.667
122,AL,DENTIST,8942.52,75.152,11646.6,97.877,15168.4,127.474
123,AL,ELECTRICAL-ENGINEER,5621.56,47.243,6702.22,56.3248,7990.63,67.1525
124,AL,EXECUTIVE-ASSISTANT,4174.42,35.0815,5048.9,42.4304,6106.56,51.3189
125,AL,FASHION-DESIGNER,4380.25,36.8112,5654.75,47.5219,7300.08,61.3492
126,AL,FINANCE-MANAGER,5905.23,49.627,7459.7,62.6906,9423.37,79.1931
127,AL,FINANCIAL-ANALYST,4552.14,38.2557,5297.9,44.523,6165.84,51.8171
128,AL,GRAPHIC-DESIGNER,3217.11,27.0363,3831,32.1954,4562.04,38.3389
129,AL,HARDWARE-ENGINEER,5745.99,48.2887,6981.12,58.6687,8481.76,71.2799
130,AL,HUMAN-RESOURCES-MANAGER,5285.65,44.4201,6454.67,54.2444,7882.23,66.2415
131,AL,IT-MANAGER,6130.41,51.5193,7512.16,63.1315,9205.35,77.3609
132,AL,INDUSTRIAL-DESIGNER,4987.4,41.9136,6126.81,51.4891,7526.53,63.2523
133,AL,INTERIOR-DESIGNER,4255.1,35.7595,5134.18,43.1471,6194.87,52.0611
134,AL,LECTURER,4131.59,34.7215,5091.39,42.7875,6274.15,52.7273
135,AL,MARKETING-MANAGER,5090.56,42.7806,6393.97,53.7343,8031.12,67.4927
136,AL,MECHANICAL-ENGINEER,5349.61,44.9576,6272.38,52.7125,7354.32,61.805
137,AL,MOBILE-DEVELOPER,5214.09,43.8187,6521.2,54.8036,8156,68.5422
138,AL,NURSE,5617.43,47.2083,6249.4,52.5194,6952.47,58.4279
139,AL,OFFICE-MANAGER,3315.41,27.8624,4053.37,34.0642,4955.6,41.6464
140,AL,OPERATIONS-MANAGER,4611.29,38.7529,5877.06,49.3902,7490.26,62.9474
141,AL,PHARMACIST,8902.34,74.8144,9917.07,83.3421,11047.5,92.8417
142,AL,PHYSICIAN,11206.3,94.1768,15268.1,128.311,20802,174.818
143,AL,POSTDOCTORAL-RESEARCHER,3681.65,30.9403,4163.75,34.9917,4708.97,39.5738
144,AL,PRODUCT-MANAGER,6293.72,52.8918,7734.24,64.9978,9504.48,79.8747
145,AL,PROJECT-MANAGER,5638.71,47.3872,6969.99,58.5751,8615.57,72.4044
146,AL,QA-ENGINEER,4443.9,37.3461,5478.07,46.0372,6752.9,56.7508
147,AL,RECEPTIONIST,2299.45,19.3244,2785.09,23.4056,3373.29,28.3488
148,AL,RESEARCH-SCIENTIST,4812.34,40.4424,6167.67,51.8325,7904.72,66.4305
149,AL,SALES-MANAGER,4806.22,40.391,6352.21,53.3834,8395.48,70.5548
150,AL,SOFTWARE-ENGINEER,5655.92,47.5318,6893.74,57.9343,8402.46,70.6135
151,AL,SYSTEMS-ADMINISTRATOR,4546.04,38.2045,5471.11,45.9787,6584.41,55.3348
152,AL,TEACHER,3250.78,27.3193,4020.48,33.7877,4972.42,41.7877
153,AL,UX-DESIGNER,5006.47,42.0739,6138.52,51.5876,7526.56,63.2524
154,AL,WAITER,1308.89,10.9997,2003.62,16.8382,3067.11,25.7757
155,AL,WEB-DESIGNER,3642.56,30.6118,4457.17,37.4576,5453.94,45.8344
156,AL,WEB-DEVELOPER,4589.77,38.572,5687.13,47.7941,7046.86,59.2211
157,DZ,ACCOUNT-MANAGER,4932.87,29.455,6176.12,36.8787,7732.7,46.1733
158,DZ,ACCOUNTANT,3937.02,23.5086,4675.84,27.9203,5553.31,33.1598
159,DZ,ADMINISTRATIVE-ASSISTANT,3073.14,18.3502,3701.01,22.0994,4457.17,26.6145
160,DZ,ARCHITECT,6715.56,40.0998,8315.93,49.6558,10297.7,61.4892
161,DZ,ATTORNEY,5373.85,32.0882,7256.88,43.3321,9799.72,58.5158
162,DZ,BUSINESS-ANALYST,5396.56,32.2238,6473.7,38.6556,7765.83,46.3711
163,DZ,BUSINESS-DEVELOPMENT,4865.8,29.0546,6446.54,38.4934,8540.81,50.9987
164,DZ,C-LEVEL-EXECUTIVE,8907.35,53.1874,13354.5,79.7422,20022.1,119.555
165,DZ,CASHIER,1426.1,8.51552,1998.12,11.9311,2799.57,16.7167
166,DZ,CHEF,3672.14,21.927,4510.69,26.9341,5540.71,33.0845
167,DZ,CHEMICAL-ENGINEER,6075.84,36.2799,7362.4,43.9622,8921.39,53.2712
168,DZ,CIVIL-ENGINEER,5384.83,32.1537,6419.5,38.332,7652.99,45.6973
169,DZ,CONTENT-MARKETING,3714.76,22.1815,4651.17,27.773,5823.64,34.774
170,DZ,COPYWRITER,3685.66,22.0077,4532.24,27.0628,5573.27,33.279
171,DZ,CUSTOMER-SUPPORT,3080.77,18.3958,3960.92,23.6513,5092.52,30.4083
172,DZ,DATA-ANALYST,4425.69,26.4265,5326.58,31.8059,6410.86,38.2803
173,DZ,DATA-SCIENTIST,8732.5,52.1433,10549.1,62.9907,12743.7,76.0946
174,DZ,DENTIST,9328.38,55.7014,12149.1,72.5441,15822.6,94.4797
175,DZ,ELECTRICAL-ENGINEER,5864.22,35.0163,6991.33,41.7465,8335.07,49.7702
176,DZ,EXECUTIVE-ASSISTANT,4354.2,25.9997,5266.54,31.4474,6370.05,38.0367
177,DZ,FASHION-DESIGNER,4569.27,27.2839,5898.67,35.222,7614.85,45.4696
178,DZ,FINANCE-MANAGER,6160.48,36.7853,7781.9,46.4671,9830.06,58.697
179,DZ,FINANCIAL-ANALYST,4748.55,28.3544,5526.36,32.9988,6431.57,38.404
180,DZ,GRAPHIC-DESIGNER,3355.76,20.0378,3995.98,23.8607,4758.36,28.413
181,DZ,HARDWARE-ENGINEER,5994.2,35.7924,7282.54,43.4853,8847.79,52.8317
182,DZ,HUMAN-RESOURCES-MANAGER,5513.56,32.9224,6733.16,40.2048,8222.52,49.0981
183,DZ,IT-MANAGER,6394.52,38.1828,7835.96,46.7898,9602.32,57.3371
184,DZ,INDUSTRIAL-DESIGNER,5202.49,31.065,6390.96,38.1615,7850.92,46.8792
185,DZ,INTERIOR-DESIGNER,4438.5,26.503,5355.84,31.9806,6462.78,38.5904
186,DZ,LECTURER,4309.99,25.7357,5311.14,31.7137,6544.85,39.0804
187,DZ,MARKETING-MANAGER,5309.96,31.7067,6669.64,39.8256,8377.5,50.0235
188,DZ,MECHANICAL-ENGINEER,5580.34,33.3212,6542.76,39.0679,7671.16,45.8058
189,DZ,MOBILE-DEVELOPER,5438.97,32.477,6802.4,40.6183,8507.62,50.8004
190,DZ,NURSE,5859.69,34.9892,6518.92,38.9256,7252.3,43.3048
191,DZ,OFFICE-MANAGER,3458.42,20.6508,4228.41,25.2486,5169.85,30.8701
192,DZ,OPERATIONS-MANAGER,4810.07,28.7217,6130.52,36.6064,7813.45,46.6555
193,DZ,PHARMACIST,9286.25,55.4498,10344.9,61.7714,11524.3,68.8137
194,DZ,PHYSICIAN,11689.7,69.8015,15927,95.1026,21700,129.575
195,DZ,POSTDOCTORAL-RESEARCHER,3840.28,22.931,4343.28,25.9345,4912.16,29.3314
